nan, R-1.1, nan
nan, nan, nan
POSTES, CABLE DE FIBRA OPTICA, nan
N° Poste, Longitud de F.O. (m), nan
nan, 1100, 1069
1, 1112, -
2, 1160, -
-, -, -
3, 1188, -
4, 1225, -
5, 1254, -
6, 1317, 1293
7, 1357, -
8, 1399, -
9, 1439, -
10, 1481, -
11, 1525, -
12, 1550, -
13, 1616, 1592
14, 1659, -
-, -, -
15, -, -
16, -, -
17, 1714, -
18, 1757, -
19, 1820, 1796
nan, -, -
20, -, -
21, nan, -
22, 1845, -
23, -, -
24, 1924, -
25, 1964, -
26, 2004, -
-, -, -
27, -, -
28, 2068, 2044
29, 2128, -
30, 2192, 2168
31, 2231, -
32, 2269, -
33, 2333, 2309
-, -, -
34, -, -
35, 2354, -
36, 2372, -
37, 2438, -
38, 2472, -
39, 2483, -
40, 2509, -
41, 2601, -
42, 2710, 2686
43, 2803, -
44, 2890, -
45, 2982, -
46, 3048, 3024
47, 3088, -
48, 3132, -
49, 3176, -
50, 3222, -
51, 3278, 3254
52, 3309, -
53, 3323, -
54, 3368, -
55, 3411, -
56, 3438, -
57, 3493, -
58, 3561, -
59, 3577, -
60, 3641, 3617
61, 3686, -
-, -, -
62, -, -
63, 3722, -
-, -, -
64, -, -
65, 3782, 3758
66, 3820, -
67, 3883, 3859
68, 3923, -
69, 3962, -
70, 4008, 3996
nan, 2860, nan
nan, 2896, nan
