Numero poste, Longitud 1, Longitud 2
1, 1112, -
2, 1160, -
-, -, -
3, 1188, -
4, 1225, -
5, 1254, -
6, 1317, 1293
7, 1357, -
8, 1399, -
9, 1439, -
10, 1481, -
11, 1525, -
12, 1550, -
13, 1616, 1592
14, 1659, -
-, -, -
15, -, -
16, -, -
17, 1714, -
18, 1757, -
19, 1820, 1796
20, -, -
21, , -
22, 1845, -
23, -, -
24, 1924, -
25, 1964, -
26, 2004, -
-, -, -
27, -, -
28, 2068, 2044
29, 2128, -
30, 2192, 2168
31, 2231, -
32, 2269, -
33, 2333, 2309
-, -, -
34, -, -
35, 2354, -
36, 2372, -
37, 2438, -
38, 2472, -
39, 2483, -
40, 2509, -
41, 2601, -
42, 2710, 2686
43, 2803, -
44, 2890, -
45, 2982, -
46, 3048, 3024
47, 3088, -
48, 3132, -
49, 3176, -
50, 3222, -
51, 3278, 3254
52, 3309, -
53, 3323, -
54, 3368, -
55, 3411, -
56, 3438, -
57, 3493, -
58, 3561, -
59, 3577, -
60, 3641, 3617
61, 3686, -
-, -, -
62, -, -
63, 3722, -
-, -, -
64, -, -
65, 3782, 3758
66, 3820, -
67, 3883, 3859
68, 3923, -
69, 3962, -
70, 4008, 3996
19, 120, 108
21, 68, -
71, 38, 1
28, 4, 16
27, 43, -
72, 82, -
73, 126, -
74, 164, 198
42, 2107, 2095
75, 2126, -
76, 2169, -
77, 2200, -
78, 2237, -
79, 2272, -
80, 2320, -
81, 2359, -
82, -, -
83, 2515, -
84, 2555, -
85, 2620, 2596
86, 2655, -
87, 2694, -
88, 2733, -
89, 2768, 
90, 2836, 2812
91, 2877, -
92, 2924, -
93, -, -
94, 2975, -
95, 3016, -
96, 3057, -
97, 3080, -
98, 3153, -
99, 3225, -
-, -, -
100, 3249, -
101, 3284, -
102, 3345, 3321
101, 3382, 
100, 3417, 
-, , 
103, 3454, -
104, 3497, -
105, 3524, -
106, 3563, -
107, 3589, -
108, 3619, -
109, -, -
110, 3661, 3637
111, 3708, -
112, 3750, -
113, 3820, 3796
114, 3865, -
115, 3903, -
116, , 
117, 3929, -
118, 3970, -
-, -, -
119, -, -
120, 4006, 3994
110, 225, 213.0
108, 195, 
107, 164, 
106, 139, 
121, 127, 
122, 82, 
123, 37, 1.0
51, 1054, 1042.0
52, 1085, 
124, , 
125, 1154, 
126, 1199, 
127, 1243, 1267.0
128, 1312, 
129, 1357, 
130, 1400, 
131, 1444, 
132, 1487, 1511.0
133, 1552, 
134, 1597, 
135, 1642, 
136, 1686, 
137, 1730, 
138, 1774, 
139, 1820, 
140, 1864, 
141, 1909, 
142, 1952, 1982.0
143, 2029, 
144, 2072, 
145, 2117, 
146, 2161, 
147, 2205, 2229.0
148, 2276, 
149, 2322, 
150, 2367, 
151, 2412, 
152, 2456, 
153, 2501, 
154, 2546, 
155, 2590, 
156, 2635, 
157, 2680, 
158, 2714, 
159, 2769, 
160, 2813, 
161, 2858, 2888.0
162, 2945, 
163, 2978, 
164, 3023, 
165, 3067, 
166, 3114, 
167, 3151, 3186.0
168, 3233, 
169, 3268, 
170, 3302, 
171, 3340, 
172, 3375, 3399.0
173, 3449, 
174, 3494, 3518.0
175, 3566, 
176, 3615, 3639.0
177, 3686, 
178, 3721, 3755.0
179, 3808, 
180, , 
181, 3824, 
182, 3873, 3897.0
183, 3951, 
184, 3998, 4010.0
172, 210, 198.0
173, 259, 
174, , 
185, 272, 
186, 323, 
187, 373, 
188, 432, 420.0
176, 2799, 2787.0
189, , 
-, , 
190, , 
191, , 
192, , 
193, , 
194, , 
195, , 
196, , 
-, , 
197, , 
198, 2473, 
199, 2429, 2405.0
200, 2356, 
201, 2306, 
202, 2257, 
203, 2212, 
204, 2166, 2154.0
178, 444, 
177, , 
205, 480, 
206, 528, 
207, 579, 
208, 640, 628.0
1, 274, 
209, , 
210, 352, 
211, 392, 
212, 431, 
213, 471, 
214, 512, 
215, 551, 
-, , 
216, , 
217, , 
218, 608, 
219, 674, 650.0
220, , 
221, 756, 
222, , 
223, , 
224, 820, 
225, 863, 
-, , 
226, , 
227, 943, 919.0
228, 981, 
229, 1026, 
230, 1069, 
231, , 
232, , 
233, 1110, 
234, 1140, 
235, 1170, 
236, , 
237, , 
238, 1207, 
239, 1279, 1251.0
240, 1330, 
241, 1353, 
242, 1370, 
243, 1412, 
244, 1481, 
245, 1517, 
246, 1577, 1553.0
247, 1616, 
248, , 
344, , 
249, 1678, 
250, 1721, 
251, 1733, 
252, 1770, 
253, 1808, 
254, 1842, 
255, 1892, 
-, , 
256, , 
258, 1936, 
259, 1975, 
260, 2040, 2016.0
261, , 
262, 2119, 
263, 2161, 
264, 2205, 
265, 2264, 2240.0
266, 2300, 
267, 2335, 
268, 2372, 
269, 2408, 
-, , 
270, , 
271, 2443, 
272, 2479, 
273, 2537, 2513.0
274, , 
275, 2575, 
276, 2597, 
277, 2636, 
278, 2700, 2676.0
279, 2818, 
280, 2771, 
281, 2826, 
219, 68, 
220, 107, 
-, , 
221, , 
282, 135, 
283, 174, 
284, 226, 
285, 255, 
286, 300, 312.0
227, 1040, 1052.0
228, 1090, 
229, , 
287, 1144, 
288, 1183, 
289, 1221, 1245.0
290, 1283, 
-, , 
291, , 
292, , 
293, 1306, 
294, 1348, 
295, 1388, 1412.0
296, , 
297, 1458, 
298, 1503, 
299, 1548, 
300, 1565, 
301, 1609, 
302, 1653, 
303, 1688, 
304, 1702, 
305, 1739, 
306, 1775, 
307, 1815, 
308, 1855, 
309, 1899, 1923.0
310, 1965, 
311, 2005, 
312, 2048, 
313, 2092, 
314, 2132, 
315, 2174, 
316, 2211, 2235.0
317, , 
318, 2249, 
319, 2288, 
320, 2328, 
321, 2363, 
322, 2404, 
323, 2444, 2468.0
324, 2508, 
325, 2548, 
326, 2587, 
327, 2628, 
-, , 
328, , 
329, 2650, 2674.0
330, 2716, 
-, , 
331, , 
332, 2732, 
333, 2777, 
334, 2817, 
335, 2858, 2870.0
309, 1238, 1226.0
310, 1184, 
311, 1144, 
312, 1100, 
313, 1057, 
336, , 
-, , 
337, 1009, 
338, 965, 
339, 915, 
340, 876, 860.0
316, 1, 12.0
315, 49, 
314, , 
-, , 
341, , 
342, 89, 
343, 133, 152.0
246, 4007, 3995.0
247, 3934, 
344, 3892, 
345, 3850, 
346, 3809, 
347, 3771, 
348, 3748, 
349, 3708, 3685.0
350, 3645, 
351, 3606, 
351, , 
352, 3554, 
353, 3516, 
354, 3475, 
355, 3437, 
-, , 
356, , 
357, , 
358, 3403, 
359, 3363, 3339.0
360, 3296, 
361, 3254, 
362, 3212, 
363, 3162, 
-, , 
364, , 
365, , 
366, 3094, 
367, 3059, 
-, , 
368, , 
369, , 
370, , 
371, 2949, 
372, 2905, 
373, 2868, 
374, , 
375, 2839, 2827.0
260, 2, 14.0
259, 55, 
258, 94, 
257, 114, 
376, 160, 
377, 200, 
-, , 
378, , 
379, , 
380, , 
381, 252, 
382, 292, 316.0
383, 356, 
384, 392, 
385, 426, 
386, 458, 
387, 495, 540.0
382, 424, 412.0
381, 464, 
380, 504, 
379, 544, 
388, 587, 
389, 642, 630.0
273, 4008, 3996.0
390, , 
391, , 
392, 3911, 
393, 3821, 
394, 3723, 
395, 3669, 
396, 3636, 
397, 3593, 
398, 3550, 
399, 3508, 
400, 3473, 
401, 3436, 
402, 3399, 3375.0
403, 3337, 
404, 3301, 
405, 3293, 
406, 3223, 
-, , 
407, , 
408, 3171, 
409, 3127, 3103.0
410, 3060, 
411, 3014, 
412, 2966, 
413, 2933, 
414, 2878, 
415, 2826, 
416, 2781, 
417, , 
418, 2747, 
419, 2708, 
420, , 
421, 2676, 2652.0
422, 2612, 
423, 2573, 
424, 2537, 
425, 2497, 
426, 2458, 
427, 2418, 
428, 2379, 
429, 2341, 
430, 2300, 
-, , 
431, , 
432, 2263, 2239.0
433, 2199, 
434, 2158, 
-, , 
435, , 
436, 2117, 
437, 2097, 
438, 2074, 
439, 2024, 
440, 1985, 1943.0
441, 1890, 
-, , 
442, , 
443, 1852, 
444, 1812, 
445, 1771, 
446, , 
447, 1741, 
448, , 
449, 1719, 
450, 1680, 
451, 1640, 1616.0
452, 1566, 
453, 1529, 
454, 1488, 
455, 1447, 
456, 1407, 
457, , 
458, 1382, 1358.0
459, 1315, 
460, 1275, 
461, 1225, 
462, 1188, 
463, 1143, 
464, 1097, 1073.0
465, 1061, 
466, 1026, 
467, 988, 
468, 949, 
469, 909, 
470, 867, 855.0
451, 843, 855.0
471, , 
-, , 
472, 815, 
473, 774, 
474, , 
475, 735, 
476, 694, 
477, 654, 642.0
1, 3969, 
2, 3921, 
478, 3875, 
479, 3841, 
480, 3803, 
481, 3768, 3744.0
482, 3700, 
483, 3660, 
485, , 
486, 3604, 
487, 3564, 
488, 3524, 
489, 3489, 
490, 3450, 
491, 3419, 
492, 3378, 
493, 3337, 
494, 3298, 
495, 3258, 
496, 3227, 
497, 3190, 
498, 3154, 
499, , 
498, 3044, 
497, 3008, 
500, 2968, 
501, 2951, 
502, 2910, 
503, 2876, 
504, 2835, 2811.0
505, 2763, 
506, 2718, 
507, , 
508, 2693, 
509, 2663, 
-, , 
510, , 
511, 2638, 
512, 2600, 
513, 2563, 
514, 2523, 
515, 2498, 2474.0
516, 2429, 
517, 2391, 
518, 2350, 2326.0
519, 2262, 
520, 2229, 
521, 2198, 
522, 2139, 
523, 2073, 2049.0
524, 2018, 
525, 1985, 
526, 1956, 1932.0
527, 1896, 
528, 1870, 
-, , 
529, , 
530, , 
531, 1849, 
532, 1819, 
533, 1787, 
534, 1747, 1723.0
535, 1684, 
-, , 
536, , 
537, 1630, 
538, 1590, 
539, 1551, 
540, , 
541, 1532, 1508.0
542, 1470, 
543, 1441, 
544, 1404, 
545, 1367, 
546, 1329, 
547, , 
548, 1308, 
549, 1266, 1242.0
550, 1202, 
551, , 
-, , 
552, , 
553, 1118, 
554, 1081, 
555, 1053, 
556, 1016, 
557, 977, 953.0
558, 916, 
559, 886, 
-, , 
560, , 
561, , 
562, 855, 
563, 820, 796.0
564, , 
565, 774, 
566, 744, 
567, 715, 
-, , 
568, , 
569, 672, 
-, , 
570, , 
571, , 
572, 592, 
573, 554, 541.0
481, 1658, 1646.0
482, 1720, 
483, 1742, 
-, , 
485, 1720, 
574, 1835, 1823.0
574, 412, 400.0
485, 359, 
484, 329, 
-, , 
575, , 
576, 268, 
577, 229, 
578, 189, 177.0
515, 1040, 1028.0
579, 991, 
580, , 
581, 979, 
582, 939, 915.0
583, , 
-, , 
584, 888, 
585, 845, 
-, , 
586, 798, 
587, 753, 729.0
588, 680, 
589, 642, 
590, 605, 590.0
587, 590, 578.0
586, 533, 
591, 475, 
592, 444, 
593, 416, 392.0
594, 350, 
595, , 
596, , 
597, 282, 
598, 241, 
599, 202, 
600, , 
601, 190, 
602, 147, 
603, , 
604, 132, 120.0
518, 1068, 1056.0
519, 992, 
520, 959, 
521, , 
605, 937, 
606, , 
607, , 
608, , 
609, 714, 
610, 673, 
611, 634, 
612, 594, 570.0
613, 530, 
614, 490, 
615, 446, 
616, 403, 
617, 364, 
618, 325, 313.0
618, 1835, 1847.0
617, 1886, 
616, 1925, 
615, 1968, 
619, 1986, 
620, 2027, 2040.0
526, 1500, 1488.0
527, 1451, 
528, 1425, 
529, 1384, 
621, 1354, 
-, , 
622, , 
623, 1329, 
624, 1290, 
625, 1252, 1240.0
541, 1645, 1630.0
540, 1591, 
626, 1551, 
627, , 
628, 1516, 
629, 1477, 1453.0
630, 1415, 
631, 1396, 
632, 1355, 
633, 1315, 
634, 1276, 1252.0
-, , 
635, , 
636, 1237, 
637, 1168, 
638, 1091, 
639, , 
640, 944, 
641, 903, 
642, 885, 
643, , 
644, , 
645, , 
646, 746, 
647, 701, 
648, 657, 
649, 612, 
650, 573, 
651, 534, 510.0
652, , 
653, 467, 
654, 423, 
655, 387, 
656, 350, 
657, , 
658, 324, 
659, 301, 
660, 262, 
661, 238, 226.0
629, 700, 716.0
630, 756, 
662, 796, 
663, 836, 860.0
557, 2152, 2140.0
664, , 
558, , 
665, 2070, 
666, 2031, 
667, 1986, 1962.0
668, 1932, 
669, 1910, 
-, , 
670, , 
671, 1844, 
672, 1804, 
673, 1764, 1740.0
674, 1724, 
675, 1679, 
676, , 
677, 1606, 
678, 1562, 
679, 1518, 1500.0
563, , 
564, , 
680, , 
681, , 
682, , 
683, , 
684, , 
685, , 
686, , 
687, , 
688, , 
689, 441, 
690, 476, 
691, 526, 
692, 565, 
693, 629, 605.0
694, 669, 
695, 694, 
696, 734, 
697, 797, 773.0
-, , 
698, , 
699, 832, 
700, 887, 
701, 931, 
702, 975, 
703, 1007, 983.0
704, , 
705, 1067, 
706, 1136, 
707, 1173, 
708, 1215, 
-, , 
709, , 
710, 1237, 1261.0
711, 1299, 
712, 1336, 
713, 1377, 
714, 1414, 
715, , 
716, 1452, 
717, 1494, 
718, 1533, 
719, , 
720, 1554, 1578.0
721, , 
722, , 
723, 1635, 
724, 1668, 
725, 1712, 
726, 1750, 
727, 1787, 1811.0
728, 1846, 
729, , 
730, 1920, 
731, 1950, 
732, 1980, 
733, 2014, 
734, 2046, 
735, 2083, 2095.0
683, , 
685, 3950, 
736, 3901, 
737, 3851, 
738, 3797, 3773.0
-, , 
739, , 
740, 3731, 
741, 3692, 
742, , 
743, 3674, 
744, 3633, 
745, 3594, 
746, 3550, 
747, 3528, 3504.0
748, 3481, 
749, 3420, 
750, 3386, 
751, 3346, 
752, , 
753, , 
754, 3278, 
755, 3240, 
756, 3200, 
757, 3160, 3136.0
758, 3096, 
759, , 
760, 3077, 
761, 3043, 
762, 3005, 
763, , 
764, 2935, 
765, 2893, 
766, 2845, 2827.0
738, 177, 165.0
739, 120, 
767, 69, 
768, 20, 1.0
757, 2870, 2882.0
756, 2920, 
755, 2959, 
769, , 
754, , 
770, 2993, 3016.0
771, 3050, 
772, 3087, 
773, 3121, 3145.0
774, 3182, 
775, 3210, 
776, 3267, 
777, 3307, 
778, 3354, 3378.0
779, , 
780, , 
781, 3505, 
782, 3534, 
783, 3566, 
784, 3607, 
785, 3642, 
786, 3673, 
787, 3712, 
-, , 
788, , 
789, 3779, 
790, 3820, 
791, , 
792, 3871, 
793, 3917, 
794, 3957, 
795, 3996, 4008.0
693, 165, 153.0
694, 205, 
-, , 
695, , 
796, 219, 
797, 258, 
798, 298, 
799, 364, 340.0
800, 402, 
