Numero poste, Longitud 1, Longitud 2
1
2
2, 4010, 3994.0
3, 3977, 3977.0
4, 3925, 3925.0
5, 3883, 3883.0
6, 3840, 3840.0
7, 3807, 3807.0
8, 3782, 3782.0
9, 3734, 3734.0
10, 3694, 3694.0
11, 3674, 3674.0
12, 3632, 3632.0
13, 3587, 3587.0
14, 3548, 3548.0
15, 3505, 3465.0
16, 3448, 3448.0
17, 3416, 3416.0
18, 3368, 3368.0
19, 3335, 3335.0
20, 3298, 3298.0
21, 3257, 3257.0
22, 3226, 3226.0
23, 3175, 3175.0
24, 3131, 3131.0
25, 3085, 3085.0
26, 3029, 2989.0
27, 2938, 2938.0
28, 2890, 2890.0
29, 2839, 2839.0
30, 2804, 2804.0
31, 2768, 2768.0
32, 2748, 2748.0
33, 2718, 2718.0
34, 2663, 2633.0
35, 2566, 2566.0
36, 2509, 2509.0
37, 2455, 2455.0
38, 2383, 2383.0
39, 2342, 2342.0
40, 2306, 2306.0
41, 2247, 2217.0
42, 2165, 2165.0
43, 2454, 2454.0
44, 1944, 1944.0
45, 1838, 1838.0
46, 1759, 1759.0
47, 1736, 1717.0
2, 3677, 3661.0
3, 3646, 3646.0
4, 3592, 3592.0
5, 3551, 3524.0
6, 3482, 3482.0
7, 3448, 3448.0
8, 3414, 3414.0
9, 3375, 3349.0
10, 3309, 3309.0
11, 3290, 3290.0
12, 3248, 3248.0
13, 3204, 3204.0
14, 3165, 3139.0
15, 3092, 3092.0
16, 3079, 3079.0
17, 3047, 2994.0
18, 2946, 2946.0
19, 2914, 2914.0
20, 2878, 2852.0
21, 2812, 2812.0
22, 2780, 2780.0
23, 2730, 2730.0
24, 2686, 2686.0
25, 2640, 2595.0
26, 2541, 2541.0
27, 2489, 2489.0
28, 2442, 2442.0
29, 2391, 2391.0
30, 2356, 2356.0
31, 2320, 2294.0
32, 2275, 2275.0
227, 2261, 2261.0
228, 2241, 2241.0
229, 2200, 2200.0
230, 2129, 2129.0
231, 2058, 2058.0
232, 1986, 1960.0
233, 1910, 1910.0
234, 1866, 1866.0
235, 1818, 1792.0
236, 1758, 1758.0
237, 1717, 1717.0
238, 1695, 1695.0
239, 1649, 1649.0
240, 1619, 1619.0
241, 1578, 1565.0
242, 1617.07
3, 4007, 3991.0
4, 3976, 3976.0
106, 3923, 3923.0
107, 3884, 3831.0
108, 3793, 3793.0
109, 3750, 3750.0
110, 3707, 3691.0
14
13
111
112
113
114
115
116
117
118
119
116, 4, 17.0
115, 29, 29.0
114, 81, 81.0
120, 132, 132.0
121, 181, 207.0
122, 237, 237.0
123, 258, 258.0
124, 293, 293.0
125, 325, 325.0
126, 358, 358.0
127, 387, 387.0
128, 423, 449.0
129, 491, 491.0
130, 528, 528.0
131, 571, 571.0
132, 610, 610.0
133, 654, 654.0
134, 693, 693.0
135, 733, 743.0
25, 4000, 3986.0
24, 3940, 3940.0
23, 3896, 3896.0
136, 3862, 3862.0
137, 3814, 3814.0
138, 3763, 3763.0
139, 3711, 3711.0
140, 3664, 3636.0
141, 3580, 3580.0
142, 3537, 3537.0
143, 3506, 3506.0
144, 3463, 3463.0
145, 3432, 3432.0
146, 3393, 3393.0
147, 3344, 3344.0
148, 3303, 3303.0
149, 3250, 3250.0
150, 3236, 3236.0
151, 3173, 3173.0
152, 3125, 3125.0
153, 3082, 3082.0
154, 3037, 3009.0
155, 2966, 2966.0
156, 2921, 2921.0
157, 2890, 2890.0
158, 2800, 2800.0
159, 2751, 2751.0
160, 2700, 2700.0
161, 2650, 2650.0
162, 2599, 2599.0
163, 2555, 2555.0
